Var1,Var2,Var3,Var4,Var5,Var6,Var7
1,1,0,1,-1.3531,1.5327,1.9643
1,1,1,1,,0.9233,1.2802
0,1,,1,-0.104,-0.1639,1.4533
0,0,0,,,,-0.0752
0,,0,1,-0.3479,0.0986,0
0,0,0,1,0.0982,0.0791,-0.2733
0,1,0,1,,-0.2346,0.7651
0,,0,,,0.1557,0
1,1,1,0,-0.5071,,0.8866
1,1,1,0,-1.1682,1.6225,1.3114
0,1,,0,-0.0816,0.4575,1.9114
1,1,1,,-0.6233,,1.4754
1,1,1,0,-0.9405,1.2772,0.9542
1,,1,0,-1.1096,,0
1,1,0,,-0.9362,0.6228,1.9016
0,1,0,0,0.1381,0.2037,1.9141
1,1,0,1,-1.374,0.2678,2.1442
1,1,1,1,-1.0435,1.7635,1.9391
0,1,,1,-0.2746,,1.1468
0,0,0,,-0.1065,-0.1096,0.8203
0,,1,1,-0.2729,,0
0,,0,,-0.9055,-0.0008,0
0,1,0,1,-0.0189,-0.7318,2.2399
0,,,,-0.1136,0.5663,0
1,1,1,0,-0.7291,1.3654,0.8719
1,1,1,0,-0.9592,,1.2934
0,1,1,0,0.3736,0.4436,0.5913
1,1,1,1,-1.1284,1.7577,0.9439
1,1,1,0,-0.6701,,1.1019
1,0,1,0,-0.3902,0.7139,-0.2831
1,1,0,,,,2.2378
0,1,0,0,,0.1521,1.9276
